"","Kernel_ID","AF.ppb.","FM.ppm.","plate","kernel","<LOD.AF","<LOD.FM","AF_class","FM_class"
"55","102-7",4.92711325,0.091535142,102,7,0,1,"L","L"
"56","102-8",4.92711325,0.091535142,102,8,0,1,"L","L"
"57","102-9",10.93471856,0.091535142,102,9,0,1,"L","L"
"58","102-10",10.93471856,0.091535142,102,10,0,1,"L","L"
"59","102-11",10.93471856,0.091535142,102,11,0,1,"L","L"
"60","102-12",10.93471856,0.091535142,102,12,0,1,"L","L"
"61","102-13",10.93471856,0.091535142,102,13,0,1,"L","L"
"62","102-14",10.93471856,0.091535142,102,14,0,1,"L","L"
"63","102-15",10.93471856,0.091535142,102,15,0,1,"L","L"
"64","102-16",10.93471856,0.091535142,102,16,0,1,"L","L"
"65","102-17",8.87059579,0.091535142,102,17,0,1,"L","L"
"66","102-18",8.87059579,0.091535142,102,18,0,1,"L","L"
"67","102-19",8.87059579,0.091535142,102,19,0,1,"L","L"
"68","102-20",8.87059579,0.091535142,102,20,0,1,"L","L"
"69","102-21",8.87059579,0.091535142,102,21,0,1,"L","L"
"70","102-22",8.87059579,0.091535142,102,22,0,1,"L","L"
"71","102-23",8.87059579,0.091535142,102,23,0,1,"L","L"
"72","102-24",8.87059579,0.091535142,102,24,0,1,"L","L"
"73","102-25",3.680239574,0.091535142,102,25,0,1,"L","L"
"74","102-26",3.680239574,0.091535142,102,26,0,1,"L","L"
"75","102-27",3.680239574,0.091535142,102,27,0,1,"L","L"
"76","102-28",3.680239574,0.091535142,102,28,0,1,"L","L"
"77","102-29",3.680239574,0.091535142,102,29,0,1,"L","L"
"78","102-30",3.680239574,0.091535142,102,30,0,1,"L","L"
"79","102-31",3.680239574,0.091535142,102,31,0,1,"L","L"
"80","102-32",3.680239574,0.091535142,102,32,0,1,"L","L"
"81","102-33",4.122320074,0.091535142,102,33,0,1,"L","L"
"82","102-34",4.122320074,0.091535142,102,34,0,1,"L","L"
"83","102-35",4.122320074,0.091535142,102,35,0,1,"L","L"
