"","Kernel_ID","AF.ppb.","FM.ppm.","plate","kernel","<LOD.AF","<LOD.FM","AF_class","FM_class"
"421","801-37",7.07088928,0.1416644,801,37,1,1,"L","L"
"422","801-38",7.07088928,0.1416644,801,38,1,1,"L","L"
"423","801-39",7.07088928,0.1416644,801,39,1,1,"L","L"
"424","801-40",7.07088928,0.1416644,801,40,1,1,"L","L"
"425","801-41",7.07088928,0.1416644,801,41,1,1,"L","L"
"426","801-42",7.07088928,0.1416644,801,42,1,1,"L","L"
"427","801-43",7.07088928,0.1416644,801,43,1,1,"L","L"
"428","801-44",7.07088928,0.1416644,801,44,1,1,"L","L"
"429","801-45",7.07088928,0.1416644,801,45,1,1,"L","L"
"430","801-46",7.07088928,0.1416644,801,46,1,1,"L","L"
"431","801-47",7.07088928,0.1416644,801,47,1,1,"L","L"
"432","801-48",7.07088928,0.1416644,801,48,1,1,"L","L"
"433","901-1",18080.91,0.00240782,901,1,0,1,"H","L"
"434","901-2",0.5724791,0.00240782,901,2,1,1,"L","L"
"435","901-3",0.5488744,0.00240782,901,3,1,1,"L","L"
"436","901-4",0.5640554,0.00240782,901,4,1,1,"L","L"
"437","901-5",0.6631356,0.05000038,901,5,1,0,"L","L"
"438","901-6",0.2511708,0.00240782,901,6,1,1,"L","L"
"439","901-7",0.6865858,0.00240782,901,7,1,1,"L","L"
"440","901-8",0.1877973,0.00240782,901,8,1,1,"L","L"
"441","901-9",0.3421326,0.00240782,901,9,1,1,"L","L"
"442","901-10",0.710031,0.00240782,901,10,1,1,"L","L"
"443","901-11",0.8948756,16.85552,901,11,1,0,"L","H"
"444","901-12",0.7485579,0.00240782,901,12,1,1,"L","L"
"445","901-13",0.726779,0.00240782,901,13,1,1,"L","L"
"446","901-14",0.9185695,2.091787,901,14,1,0,"L","M"
"447","901-15",0.9406204,0.00240782,901,15,1,1,"L","L"
"448","901-16",0.2165547,0.00240782,901,16,1,1,"L","L"
"449","901-17",0.8493184,0.00240782,901,17,1,1,"L","L"
"450","901-18",1.113968,0.00240782,901,18,0,1,"L","L"
"451","901-19",217.1155,0.00240782,901,19,0,1,"H","L"
"452","901-20",1.803481,2.406857,901,20,0,0,"L","M"
"453","901-21",1.206715,0.00240782,901,21,0,1,"L","L"
"454","901-22",1.031092,0.00240782,901,22,1,1,"L","L"
"455","901-23",0.5235116,0.00240782,901,23,1,1,"L","L"
"456","901-24",0.4759091,0.00240782,901,24,1,1,"L","L"
"457","901-25",1.03968,0.00240782,901,25,1,1,"L","L"
"458","901-26",1.519037,0.00240782,901,26,0,1,"L","L"
"459","901-27",1.210243,0.00240782,901,27,0,1,"L","L"
"460","901-28",1.571828,6.493392,901,28,0,0,"L","H"
"461","901-29",1.27948,0.00240782,901,29,0,1,"L","L"
"462","901-30",1.272339,173.3184,901,30,0,0,"L","H"
"463","901-31",1.472406,0.00240782,901,31,0,1,"L","L"
"464","901-32",0.7535854,0.00240782,901,32,1,1,"L","L"
"465","901-33",1.718336,226.2768,901,33,0,0,"L","H"
"466","901-34",1.785517,0.00240782,901,34,0,1,"L","L"
"467","901-35",1.843677,531.1542,901,35,0,0,"L","H"
"468","901-36",1.431745,0.00240782,901,36,0,1,"L","L"
"469","901-37",1.549129,0.00240782,901,37,0,1,"L","L"
"470","901-38",1.259864,0.00240782,901,38,0,1,"L","L"
"471","901-39",1.474262,118.5139,901,39,0,0,"L","H"
"472","901-40",1.324329,134.4102,901,40,0,0,"L","H"
"473","901-41",2.607109,132.0869,901,41,0,1,"L","H"
"474","901-42",85381.34,0.6222149,901,42,0,0,"H","L"
"475","901-43",8.200014,0.00240782,901,43,0,1,"L","L"
"476","901-44",63112.07,0.007816041,901,44,0,1,"H","L"
"477","901-45",432.8979,0.00240782,901,45,0,1,"H","L"
"478","901-46",4.233985,0.00240782,901,46,0,1,"L","L"
"479","901-47",420868.4,0.6032379,901,47,0,0,"H","L"
"480","901-48",4.245228,438.9136,901,48,0,0,"L","H"
"481","902-1",0.243309,0.1088211,902,1,1,1,"L","L"
"482","902-2",1.068901,0.1088211,902,2,1,1,"L","L"
"483","902-3",1.068901,0.1088211,902,3,1,1,"L","L"
"484","902-4",0.5920791,0.1088211,902,4,1,1,"L","L"
"485","902-5",0.3332022,0.1088211,902,5,1,1,"L","L"
"486","902-6",1.144177,0.1088211,902,6,0,1,"L","L"
"487","902-7",0.9599923,0.03329275,902,7,1,1,"L","L"
"488","902-8",1.068901,0.02005356,902,8,1,1,"L","L"
"489","902-9",1.068901,0.005596815,902,9,1,1,"L","L"
"490","902-10",0.21435,0.1088211,902,10,1,1,"L","L"
"491","902-11",1.068901,0.1088211,902,11,1,1,"L","L"
"492","902-12",0.1596102,0.1088211,902,12,1,1,"L","L"
"493","902-13",0.8526698,0.1088211,902,13,1,1,"L","L"
"494","902-14",1.183349,0.1088211,902,14,0,1,"L","L"
"495","902-15",0.964713,0.1088211,902,15,1,1,"L","L"
"496","902-16",0.3363559,0.1088211,902,16,1,1,"L","L"
"497","902-17",0.08031626,0.01272773,902,17,1,1,"L","L"
"498","902-18",0.2503469,0.1088211,902,18,1,1,"L","L"
"499","902-19",0.6594954,0.1088211,902,19,1,1,"L","L"
"500","902-20",0.8381753,0.01462884,902,20,1,1,"L","L"
"501","902-21",1.028106,0.1088211,902,21,1,1,"L","L"
"502","902-22",0.5999601,0.1088211,902,22,1,1,"L","L"
"503","902-23",0.7475798,0.01225898,902,23,1,1,"L","L"
"504","902-24",0.7475798,0.1088211,902,24,1,1,"L","L"
"505","902-25",1.068901,0.1088211,902,25,1,1,"L","L"
"506","902-26",1.068901,0.1088211,902,26,1,1,"L","L"
"507","902-27",1.068901,0.1088211,902,27,1,1,"L","L"
"508","902-28",0.466971,0.04349825,902,28,1,1,"L","L"
"509","902-29",1.109505,0.1088211,902,29,0,1,"L","L"
"510","902-30",0.2710417,3.117729,902,30,1,0,"L","M"
"511","902-31",0.9078061,0.0151104,902,31,1,1,"L","L"
"512","902-32",0.3426327,0.01086926,902,32,1,1,"L","L"
"513","902-33",0.8405945,0.1088211,902,33,1,1,"L","L"
"514","902-34",0.7176771,0.1088211,902,34,1,1,"L","L"
"515","902-35",0.4297863,0.1088211,902,35,1,1,"L","L"
"516","902-36",0.6260298,0.1088211,902,36,1,1,"L","L"
"517","902-37",0.7894823,0.1088211,902,37,1,1,"L","L"
"518","902-38",1.067739,0.01179294,902,38,1,1,"L","L"
"519","902-39",0.9458079,0.05542945,902,39,1,1,"L","L"
"520","902-40",0.7051306,35.92558,902,40,1,0,"L","H"
"521","902-41",1.068901,0.05299539,902,41,1,1,"L","L"
"522","902-42",0.151221,0.1088211,902,42,1,1,"L","L"
"523","902-43",0.1596102,3.954151,902,43,1,0,"L","M"
"524","902-44",1.067739,0.06287094,902,44,1,1,"L","L"
"525","902-45",0.7426156,0.08641046,902,45,1,1,"L","L"
"526","902-46",1.068901,0.244866,902,46,1,0,"L","L"
"527","902-47",1.053773,0.09119438,902,47,1,1,"L","L"
"528","902-48",1.148792,0.1513704,902,48,0,0,"L","L"
